Device,Application,Schedule_UID,Task_ID,Total_Duration_ms
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,22,16.391560872395832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,23,16.375406901041664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,24,16.373250325520832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,25,16.372233072916664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,26,16.270222981770832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,27,16.648722330729164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,28,16.556477864583332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,29,16.013346354166664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,30,16.271484375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,31,16.315388997395832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,32,16.297200520833332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,33,16.312337239583332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,34,16.177286783854164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,35,16.239949544270832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,36,16.248494466145832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,37,16.235270182291664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,38,16.245646158854164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,39,16.347493489583332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,40,16.260538736979164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,41,16.018880208333332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,42,16.5601806640625
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,43,16.143839518229164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,44,16.251871744791664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,45,15.815999348958332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,46,15.769205729166666
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,47,15.820800781249998
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,48,16.024210611979164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,49,15.782999674479166
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,50,15.742024739583332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,51,16.495320638020832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,52,16.587320963541664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,53,16.737630208333332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,54,16.2799072265625
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,55,16.1680908203125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,56,16.366373697916664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,57,16.227579752604164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,58,19.252400716145832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,59,16.2225341796875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,60,15.939900716145832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,61,15.934733072916664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,62,16.344075520833332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,63,16.292317708333332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,64,16.198323567708332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,65,16.073486328125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,66,16.310017903645832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,67,15.911661783854166
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,68,16.215372721354164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,69,16.681111653645832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,70,16.624796549479164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,71,15.968505859375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,72,16.1260986328125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,73,16.390584309895832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,74,16.478597005208332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,75,16.140421549479164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,76,16.1826171875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,77,16.413736979166664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,78,15.891276041666664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,79,15.6697998046875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,80,15.714803059895832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,81,15.805257161458332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,82,15.696980794270832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,83,15.684814453124998
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,84,15.755655924479166
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,85,15.709635416666664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,86,15.7022705078125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,87,15.687418619791666
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,88,15.738972981770832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,89,15.746826171874998
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,90,15.785034179687498
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,91,15.725870768229166
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,92,15.74365234375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,93,16.424723307291664
